Sample_ID,Huntingtons_Disease,IGF2BP3,YTHDC1,PPP1CC,YTHDF2,CEBPD,YTHDF3,FTO,CEBPB,YTHDC2,YTHDF1
GSM1424230,0,-0.01582424,-0.22771304999999997,-0.2037994,0.1392391,0.1128729,-0.03732583999999999,0.2119999,-0.1589408,-0.06818967,-0.07126473
GSM1424231,0,0.09268354,-0.14735182,-0.1798665,0.1768767,0.02073677,-0.0130541184,0.2166168,-0.08298289,-0.05674886,-0.1035107
GSM1424232,0,-0.02686367,-0.30810305,-0.2287478,0.09344519,0.1636487,-0.072877985,0.2074745,-0.04410142,-0.08184832,-0.1223874
GSM1424233,0,-0.01761189,-0.075503365,-0.1337097,0.07248819,-0.1941586,0.036992246,0.08203096,-0.2549697,-0.07941334,-0.1063187
GSM1424234,0,-0.02705177,-0.25535024500000003,-0.2230623,0.1455583,-0.2195436,-0.06475092,0.240549,-0.2156932,-0.1077042,-0.09008666
GSM1424235,0,-0.1884492,-0.14939294,-0.1753469,0.07525682,-0.221878,-0.041931495,0.1462028,-0.225859,-0.07110042,-0.1171618
GSM1424236,0,-0.03472919,-0.21144670000000002,-0.1997406,0.1441228,-0.268091,0.051997295,0.1949434,-0.2017196,-0.05079353,-0.06548934
GSM1424237,0,-0.03355669,-0.12976503,-0.1663766,0.1186955,0.04537724,0.010911450000000003,0.1971666,-0.1670916,-0.1225838,-0.07402992
GSM1424238,0,-0.0604598,-0.1889036,-0.1715522,0.188368,-0.4097609,0.010950044999999999,0.2418442,-0.2459919,-0.08789871,-0.09897806
GSM1424239,0,-0.03227251,-0.14524775,-0.1177457,0.2188781,-0.3130556,0.052767190000000005,0.2098349,-0.1240806,-0.02447024,-0.06997168
GSM1424240,0,-0.03116385,-0.21200813500000001,-0.1866081,0.09298541,-0.4705082,0.000620339999999997,0.1739622,-0.2381754,-0.1340472,-0.1367409
GSM1424241,0,0.02475897,-0.13095895000000002,-0.1292708,0.2132068,-0.4234267,0.020367734999999998,0.1832105,-0.2578602,-0.02822178,-0.08935088
GSM1424242,0,-0.06447234,-0.08949527,-0.06589832,0.2368826,-0.3289466,0.050514235000000005,0.1033724,-0.2183175,-0.02357345,-0.1165879
GSM1424243,0,0.009124008,-0.1450292,-0.1948731,0.1425429,-0.4515184,-0.040605613,0.1456482,-0.2856037,-0.03072801,-0.1543584
GSM1424244,0,-0.08157773,-0.05675097,-0.08296034,0.2237549,0.08612886,0.05086553,0.1595917,-0.07621206,-0.02848345,-0.004784784
GSM1424245,0,-0.02914059,-0.10510972,-0.1394637,0.1354213,-0.2404215,-0.023629380000000002,0.141394,-0.2210785,-0.04081047,-0.1014663
GSM1424246,0,0.002888243,-0.2034202,-0.1999922,0.1431884,-0.282544,-0.043313085,0.2003174,-0.1746096,-0.05475066,-0.09330678
GSM1424247,1,-0.0003644039,-0.012429039999999999,-0.05292031,0.06989899,0.7144697,0.0404953,-0.0353405,0.4411269,-0.1572935,0.01340796
GSM1424248,1,0.01516677,-0.1789943,-0.1730032,0.2079189,-0.4193859,0.0358205855,0.1787077,-0.2693453,-0.04562778,-0.1008174
GSM1424249,1,-0.07132135,-0.08980558999999999,-0.05286147,0.1451268,0.1614569,0.019232065,0.1325897,-0.03829213,-0.1518598,0.003530001
GSM1424250,1,-0.03476757,-0.20548606500000002,-0.09254467,0.02647082,-0.0607588,0.035652144999999996,0.1442039,0.02576866,-0.2697556,-0.0150423
GSM1424251,1,-0.02754394,-0.097020655,-0.05536994,0.1173292,0.3046356,-0.019515650000000002,0.06406027,0.1035609,-0.08427946,0.05700756
GSM1424252,1,-0.08132744,0.005265450000000005,-0.09204601,-0.02128451,-0.1615485,0.060500725,0.05196283,0.08320217,-0.219958,0.02629374
GSM1424253,1,-0.02292923,-0.16838046,0.07540341,0.1273983,0.145366,0.029134651999999997,0.1477241,0.1658884,-0.1576602,0.09795955
GSM1424254,1,-0.08318072,-0.22060216,-0.3729984,0.05118963,0.05298488,-0.008614024999999997,0.2750908,0.0579937,-0.1137302,0.06943399
GSM1424255,1,-0.08417393,-0.20736408,-0.276031,-0.01223329,-0.04926575,-0.008918305000000001,0.1819283,-0.04553113,-0.1175113,-0.02860622
GSM1424256,1,-0.03397295,-0.10731815,-0.06736158,-0.04620117,0.4033139,0.09769112499999999,0.02115598,0.4158267,-0.2387553,0.0785007
GSM1424257,1,-0.08507598,-0.09579311,-0.1100435,-0.003818273,0.1399278,0.052702281,0.1055248,0.1426478,-0.1572592,0.09740011
GSM1424258,1,-0.1484443,-0.22581553355,-0.1688303,-0.01957894,0.1499892,0.055537329999999996,0.1520859,0.1143973,-0.2088207,-0.02774592
GSM1424259,1,0.02179068,-0.151736635,-0.1493309,0.06460658,0.2640082,-0.07721919,0.1645181,0.03978318,0.001684804,0.07744366
GSM1424260,1,-0.1128626,-0.141295135,-0.04526979,-0.001488367,0.4509155,0.021481605,0.1158358,0.1867027,-0.1215437,-0.0572642
GSM1424261,1,-0.1241141,-0.170034745,-0.1488509,0.03401327,0.1680283,-0.020527945,0.1724478,0.1096135,-0.09272334,-0.03931797
GSM1424262,1,0.005866598,-0.073736255,-0.1667646,0.0762101,-0.2552052,0.02975652,0.109264,-0.2167509,-0.01619442,-0.08325297
GSM1424263,1,-0.04593948,-0.203237195,-0.1715745,0.02745641,0.4516236,-0.02111635,0.1548899,0.1897052,-0.1403836,0.1899045
GSM1424264,1,-0.06527478,-0.022775375,0.04530168,-0.1209055,0.4224847,0.080119225,-0.1208305,0.1874881,-0.08539032,0.09020256
GSM1424265,1,-0.00709812,-0.22170351000000002,-0.09673885,-0.009033998,0.3385104,-0.018118399999999996,0.1428332,0.1746664,-0.1465487,-0.0138083
